cust_id,transaction_type,transaction_date,subscription_type
73,initial,2022-05-01,PRO
74,initial,2022-08-01,MAX
75,initial,2021-07-01,BASIC
76,initial,2022-06-01,PRO
77,initial,2020-01-01,BASIC
78,initial,2020-03-01,PRO
79,initial,2022-07-01,PRO
80,initial,2021-01-01,PRO
81,initial,2020-11-01,MAX
82,initial,2022-09-01,BASIC
83,initial,2022-09-01,BASIC
84,initial,2020-09-01,MAX
85,initial,2021-10-01,PRO
86,initial,2022-04-01,PRO
87,initial,2020-01-01,MAX
88,initial,2022-06-01,BASIC
89,initial,2021-03-01,MAX
90,initial,2020-12-01,BASIC
91,initial,2020-10-01,MAX
92,initial,2022-09-01,PRO
93,initial,2022-10-01,PRO
94,initial,2022-11-01,PRO
95,initial,2020-11-01,BASIC
96,initial,2021-05-01,MAX
97,initial,2022-05-01,MAX
98,initial,2022-01-01,BASIC
99,initial,2022-06-01,MAX
100,initial,2022-08-01,BASIC
101,initial,2021-12-01,BASIC
102,initial,2022-12-01,PRO
103,initial,2022-11-01,PRO
104,initial,2021-06-01,MAX
105,initial,2020-09-01,PRO
106,initial,2020-12-01,MAX
107,initial,2021-11-01,MAX
108,initial,2020-11-01,BASIC
109,initial,2020-04-01,PRO
110,initial,2022-11-01,BASIC
111,initial,2020-01-01,PRO
112,initial,2021-06-01,BASIC
113,initial,2021-10-01,MAX
114,initial,2021-01-01,PRO
115,initial,2021-11-01,BASIC
116,initial,2020-07-01,PRO
117,initial,2021-11-01,PRO
118,initial,2020-10-01,BASIC
119,initial,2022-01-01,BASIC
120,initial,2020-09-01,BASIC
121,initial,2020-10-01,PRO
122,initial,2020-10-01,MAX
123,initial,2020-10-01,BASIC
124,initial,2020-03-01,MAX
125,initial,2021-01-01,PRO
126,initial,2022-12-01,MAX
127,initial,2020-07-01,MAX
128,initial,2021-09-01,BASIC
129,initial,2021-02-01,PRO
130,initial,2020-09-01,BASIC
131,initial,2022-09-01,BASIC
132,initial,2020-04-01,BASIC
133,initial,2021-11-01,PRO
134,initial,2022-02-01,BASIC
135,initial,2022-12-01,BASIC
136,initial,2021-02-01,BASIC
137,initial,2021-05-01,MAX
138,initial,2020-09-01,MAX
139,initial,2020-11-01,MAX
140,initial,2021-11-01,PRO
141,initial,2022-03-01,PRO
142,initial,2022-08-01,BASIC
143,initial,2022-03-01,BASIC
144,initial,2022-07-01,MAX
145,initial,2021-07-01,PRO
146,initial,2022-11-01,MAX
147,initial,2020-06-01,BASIC
148,initial,2021-10-01,BASIC
149,initial,2020-11-01,PRO
150,initial,2020-08-01,PRO
151,initial,2020-10-01,PRO
152,initial,2020-01-01,PRO
153,initial,2020-11-01,BASIC
154,initial,2020-04-01,PRO
155,initial,2021-10-01,BASIC
156,initial,2022-12-01,PRO
157,initial,2022-09-01,BASIC
158,initial,2021-02-01,BASIC
159,initial,2020-02-01,PRO
160,initial,2021-06-01,MAX
161,initial,2020-09-01,PRO
162,initial,2022-07-01,MAX
163,initial,2020-03-01,BASIC
164,initial,2021-03-01,PRO
165,initial,2021-11-01,BASIC
166,initial,2022-01-01,PRO
167,initial,2021-06-01,PRO
168,initial,2021-03-01,MAX
169,initial,2022-03-01,PRO
170,initial,2022-06-01,PRO
171,initial,2022-09-01,PRO
172,initial,2021-01-01,BASIC
173,initial,2021-03-01,PRO
174,initial,2022-12-01,PRO
175,initial,2020-04-01,MAX
176,initial,2022-05-01,PRO
177,initial,2021-05-01,PRO
178,initial,2021-10-01,BASIC
179,initial,2020-12-01,BASIC
180,initial,2022-02-01,BASIC
181,initial,2021-12-01,MAX
182,initial,2022-04-01,PRO
183,initial,2020-04-01,BASIC
184,initial,2021-08-01,BASIC
185,initial,2022-02-01,MAX
186,initial,2022-12-01,PRO
187,initial,2021-07-01,PRO
188,initial,2021-05-01,BASIC
189,initial,2020-12-01,BASIC
190,initial,2020-08-01,BASIC
191,initial,2020-08-01,PRO
192,initial,2021-10-01,MAX
193,initial,2021-12-01,PRO
194,initial,2022-03-01,BASIC
195,initial,2020-07-01,BASIC
196,initial,2020-01-01,PRO
197,initial,2020-04-01,PRO
198,initial,2020-12-01,MAX
199,initial,2022-09-01,MAX
200,initial,2022-10-01,BASIC
201,initial,2020-05-01,BASIC
202,initial,2020-03-01,PRO
203,initial,2020-01-01,BASIC
204,initial,2021-10-01,BASIC
205,initial,2022-08-01,BASIC
206,initial,2020-02-01,PRO
207,initial,2022-07-01,PRO
208,initial,2020-02-01,MAX
209,initial,2020-07-01,MAX
210,initial,2020-02-01,BASIC
211,initial,2022-07-01,MAX
212,initial,2022-08-01,BASIC
213,initial,2022-11-01,PRO
214,initial,2021-07-01,PRO
215,initial,2022-05-01,PRO
216,initial,2021-01-01,BASIC
217,initial,2020-06-01,MAX
218,initial,2022-03-01,pro
219,initial,2022-06-01,PRO
220,initial,2022-01-01,BASIC
221,initial,2020-07-01,PRO
222,initial,2021-11-01,MAX
223,initial,2021-10-01,MAX
224,initial,2022-03-01,BASIC
225,initial,2021-11-01,BASIC
226,initial,2022-02-01,MAX
227,initial,2022-04-01,BASIC
228,initial,2022-07-01,MAX
229,initial,2022-01-01,PRO
230,initial,2022-11-01,BASIC
231,initial,2022-11-01,BASIC
232,initial,2020-04-01,PRO
233,initial,2022-08-01,BASIC
234,initial,2020-10-01,PRO
235,initial,2020-11-01,PRO
236,initial,2020-06-01,PRO
237,initial,2020-07-01,MAX
238,initial,2021-07-01,BASIC
239,initial,2021-08-01,BASIC
240,initial,2021-05-01,MAX
241,initial,2020-01-01,BASIC
242,initial,2021-12-01,BASIC
243,initial,2020-10-01,PRO
244,initial,2022-03-01,BASIC
245,initial,2020-02-01,PRO
246,initial,2021-02-01,MAX
247,initial,2021-07-01,PRO
248,initial,2020-07-01,PRO
249,initial,2021-08-01,BASIC
250,initial,2020-05-01,PRO
251,initial,2021-07-01,PRO
252,initial,2020-08-01,MAX
253,initial,2021-05-01,MAX
254,initial,2020-10-01,BASIC
255,initial,2020-12-01,PRO
256,initial,2021-06-01,PRO
257,initial,2020-09-01,PRO
258,initial,2020-08-01,BASIC
259,initial,2021-09-01,PRO
260,initial,2022-09-01,BASIC
261,initial,2020-10-01,BASIC
262,initial,2020-05-01,BASIC
263,initial,2020-04-01,BASIC
264,initial,2020-01-01,BASIC
265,initial,2020-11-01,BASIC
266,initial,2022-03-01,PRO
267,initial,2020-03-01,MAX
268,initial,2020-08-01,BASIC
269,initial,2022-04-01,PRO
270,initial,2021-05-01,PRO
271,initial,2021-07-01,BASIC
272,initial,2020-10-01,PRO
273,initial,2022-01-01,PRO
274,initial,2020-04-01,PRO
275,initial,2021-06-01,MAX
276,initial,2022-01-01,BASIC
277,initial,2020-04-01,MAX
278,initial,2022-01-01,PRO
279,initial,2020-09-01,BASIC
280,initial,2021-09-01,BASIC
281,initial,2020-04-01,PRO
282,initial,2022-11-01,MAX
283,initial,2022-08-01,BASIC
284,initial,2021-11-01,PRO
285,initial,2021-01-01,BASIC
286,initial,2022-11-01,BASIC
287,initial,2022-06-01,PRO
288,initial,2021-07-01,PRO
289,initial,2020-08-01,PRO
290,initial,2022-01-01,MAX
291,initial,2022-12-01,MAX
292,initial,2020-05-01,BASIC
293,initial,2022-01-01,PRO
294,initial,2021-04-01,PRO
295,initial,2020-06-01,BASIC
296,initial,2020-01-01,BASIC
297,initial,2022-09-01,BASIC
298,initial,2022-04-01,BASIC
299,initial,2020-12-01,MAX
300,initial,2020-08-01,PRO
301,initial,2020-03-01,BASIC
302,initial,2021-11-01,MAX
303,initial,2020-11-01,BASIC
304,initial,2021-05-01,MAX
305,initial,2020-07-01,BASIC
306,initial,2022-10-01,PRO
307,initial,2020-08-01,PRO
308,initial,2022-06-01,PRO
309,initial,2020-02-01,MAX
310,initial,2020-06-01,PRO
311,initial,2021-06-01,PRO
312,initial,2021-06-01,PRO
313,initial,2020-06-01,BASIC
314,initial,2021-08-01,BASIC
315,initial,2021-05-01,PRO
316,initial,2021-12-01,BASIC
317,initial,2020-05-01,BASIC
318,initial,2021-11-01,MAX
319,initial,2022-09-01,BASIC
320,initial,2022-05-01,PRO
321,initial,2020-09-01,BASIC
322,initial,2020-02-01,PRO
323,initial,2020-08-01,PRO
324,initial,2022-03-01,MAX
325,initial,2022-04-01,PRO
326,initial,2021-11-01,PRO
327,initial,2021-08-01,PRO
328,initial,2020-02-01,MAX
329,initial,2021-09-01,BASIC
330,initial,2020-03-01,BASIC
331,initial,2022-01-01,MAX
332,initial,2020-05-01,PRO
333,initial,2020-10-01,PRO
334,initial,2021-01-01,PRO
335,initial,2020-06-01,MAX
336,initial,2020-06-01,PRO
337,initial,2022-10-01,MAX
338,initial,2022-08-01,BASIC
339,initial,2021-12-01,BASIC
340,initial,2020-01-01,BASIC
341,initial,2022-02-01,BASIC
342,initial,2021-12-01,BASIC
343,initial,2020-08-01,MAX
344,initial,2022-04-01,MAX
345,initial,2020-11-01,PRO
346,initial,2021-12-01,BASIC
347,initial,2020-06-01,PRO
348,initial,2020-09-01,BASIC
349,initial,2020-12-01,BASIC
350,initial,2022-12-01,BASIC
351,initial,2020-12-01,MAX
352,initial,2020-08-01,BASIC
353,initial,2021-12-01,BASIC
354,initial,2020-04-01,MAX
355,initial,2020-02-01,BASIC
356,initial,2022-02-01,PRO
357,initial,2021-01-01,PRO
358,initial,2020-03-01,PRO
359,initial,2020-11-01,MAX
360,initial,2020-08-01,BASIC
361,initial,2020-07-01,BASIC
362,initial,2020-07-01,MAX
363,initial,2020-11-01,PRO
364,initial,2021-11-01,PRO
365,initial,2020-05-01,BASIC
366,initial,2020-07-01,MAX
367,initial,2021-01-01,BASIC
368,initial,2022-12-01,PRO
369,initial,2022-10-01,BASIC
370,initial,2020-11-01,PRO
371,initial,2022-03-01,PRO
372,initial,2021-03-01,PRO
373,initial,2021-11-01,MAX
374,initial,2022-05-01,MAX
375,initial,2020-07-01,BASIC
376,initial,2020-04-01,MAX
377,initial,2020-10-01,PRO
378,initial,2020-01-01,PRO
379,initial,2022-10-01,BASIC
380,initial,2020-08-01,MAX
381,initial,2022-05-01,MAX
382,initial,2021-08-01,PRO
383,initial,2021-10-01,PRO
384,initial,2022-12-01,PRO
385,initial,2021-12-01,MAX
386,initial,2021-08-01,BASIC
387,initial,2022-09-01,PRO
388,initial,2022-03-01,PRO
389,initial,2021-04-01,MAX
390,initial,2021-06-01,PRO
391,initial,2021-10-01,PRO
392,initial,2021-11-01,BASIC
393,initial,2021-11-01,BASIC
394,initial,2020-11-01,PRO
395,initial,2021-03-01,BASIC
396,initial,2021-11-01,BASIC
397,initial,2021-05-01,BASIC
398,initial,2020-05-01,BASIC
399,initial,2020-08-01,PRO
400,initial,2022-05-01,PRO
401,initial,2022-10-01,BASIC
402,initial,2020-08-01,PRO
403,initial,2022-04-01,PRO
404,initial,2022-04-01,PRO
405,initial,2022-10-01,PRO
406,initial,2022-09-01,PRO
407,initial,2022-10-01,PRO
408,initial,2021-09-01,BASIC
409,initial,2021-09-01,BASIC
410,initial,2020-08-01,BASIC
411,initial,2022-01-01,PRO
412,initial,2022-04-01,BASIC
413,initial,2020-02-01,PRO
414,initial,2021-05-01,BASIC
415,initial,2020-12-01,BASIC
416,initial,2022-12-01,BASIC
417,initial,2022-12-01,PRO
418,initial,2022-08-01,BASIC
419,initial,2020-10-01,BASIC
420,initial,2022-06-01,BASIC
421,initial,2022-01-01,MAX
422,initial,2021-10-01,BASIC
423,initial,2020-08-01,MAX
424,initial,2021-02-01,PRO
425,initial,2020-12-01,MAX
426,initial,2021-11-01,BASIC
427,initial,2022-01-01,MAX
428,initial,2022-04-01,MAX
429,initial,2021-02-01,MAX
430,initial,2020-06-01,PRO
431,initial,2020-01-01,BASIC
432,initial,2020-08-01,PRO
433,initial,2021-10-01,PRO
434,initial,2020-11-01,BASIC
435,initial,2022-07-01,BASIC
436,initial,2021-03-01,MAX
437,initial,2022-01-01,PRO
438,initial,2020-11-01,PRO
439,initial,2022-04-01,max
440,initial,2020-11-01,BASIC
441,initial,2020-05-01,BASIC
442,initial,2021-08-01,BASIC
443,initial,2021-07-01,BASIC
444,initial,2022-03-01,PRO
445,initial,2021-07-01,MAX
446,initial,2020-09-01,BASIC
447,initial,2020-02-01,BASIC
448,initial,2020-10-01,BASIC
449,initial,2020-04-01,MAX
450,initial,2021-06-01,PRO
451,initial,2022-07-01,BASIC
452,initial,2022-03-01,MAX
453,initial,2021-09-01,BASIC
454,initial,2022-12-01,PRO
455,initial,2020-03-01,PRO
456,initial,2021-03-01,MAX
457,initial,2020-10-01,BASIC
458,initial,2022-09-01,pro
459,initial,2021-01-01,BASIC
460,initial,2021-01-01,PRO
461,initial,2020-08-01,BASIC
462,initial,2021-02-01,BASIC
463,initial,2021-04-01,BASIC
464,initial,2022-03-01,BASIC
465,initial,2021-04-01,BASIC
466,initial,2021-08-01,BASIC
467,initial,2022-06-01,PRO
468,initial,2022-06-01,BASIC
469,initial,2021-07-01,PRO
470,initial,2020-01-01,BASIC
471,initial,2022-02-01,BASIC
472,initial,2021-04-01,BASIC
473,initial,2021-09-01,BASIC
474,initial,2021-09-01,BASIC
475,initial,2020-06-01,PRO
476,initial,2021-10-01,BASIC
477,initial,2021-09-01,PRO
478,initial,2021-07-01,PRO
479,initial,2022-02-01,MAX
480,initial,2022-03-01,MAX
481,initial,2020-06-01,BASIC
482,initial,2021-06-01,PRO
483,initial,2022-12-01,MAX
484,initial,2021-03-01,MAX
485,initial,2021-02-01,PRO
486,initial,2020-02-01,BASIC
487,initial,2020-07-01,MAX
488,initial,2021-09-01,BASIC
489,initial,2021-02-01,BASIC
490,initial,2021-12-01,MAX
491,initial,2021-10-01,BASIC
492,initial,2020-07-01,BASIC
493,initial,2020-10-01,PRO
494,initial,2021-03-01,PRO
495,initial,2022-10-01,BASIC
496,initial,2022-05-01,BASIC
497,initial,2021-12-01,BASIC
498,initial,2022-06-01,MAX
499,initial,2021-04-01,PRO
500,initial,2020-01-01,MAX
501,initial,2022-01-01,BASIC
502,initial,2020-11-01,PRO
503,initial,2022-03-01,BASIC
504,initial,2022-10-01,PRO
505,initial,2022-08-01,MAX
506,initial,2020-04-01,BASIC
507,initial,2022-08-01,BASIC
508,initial,2021-07-01,BASIC
509,initial,2022-05-01,PRO
510,initial,2020-10-01,PRO
511,initial,2021-05-01,PRO
512,initial,2020-02-01,PRO
513,initial,2022-03-01,MAX
514,initial,2021-11-01,MAX
515,initial,2021-08-01,BASIC
516,initial,2021-10-01,MAX
517,initial,2020-04-01,PRO
518,initial,2020-06-01,BASIC
519,initial,2022-06-01,BASIC
520,initial,2020-06-01,BASIC
521,initial,2021-06-01,PRO
522,initial,2022-05-01,PRO
523,initial,2021-09-01,MAX
524,initial,2022-11-01,BASIC
525,initial,2021-11-01,BASIC
526,initial,2021-04-01,BASIC
527,initial,2020-03-01,MAX
528,initial,2021-01-01,MAX
529,initial,2020-06-01,BASIC
530,initial,2021-07-01,BASIC
531,initial,2021-05-01,MAX
532,initial,2021-03-01,PRO
533,initial,2021-11-01,BASIC
534,initial,2022-06-01,BASIC
535,initial,2020-01-01,BASIC
536,initial,2021-12-01,BASIC
537,initial,2021-11-01,PRO
538,initial,2022-07-01,BASIC
539,initial,2021-09-01,MAX
540,initial,2021-06-01,PRO
541,initial,2021-04-01,MAX
542,initial,2022-04-01,BASIC
543,initial,2022-12-01,PRO
544,initial,2022-05-01,BASIC
545,initial,2020-04-01,MAX
546,initial,2022-01-01,BASIC
547,initial,2021-11-01,BASIC
548,initial,2021-07-01,BASIC
549,initial,2021-01-01,BASIC
550,initial,2022-05-01,BASIC
551,initial,2020-04-01,PRO
552,initial,2021-01-01,PRO
553,initial,2021-06-01,PRO
554,initial,2020-12-01,BASIC
555,initial,2021-03-01,BASIC
556,initial,2021-08-01,PRO
557,initial,2021-07-01,MAX
558,initial,2020-03-01,PRO
559,initial,2021-05-01,BASIC
560,initial,2022-06-01,MAX
561,initial,2022-07-01,PRO
562,initial,2021-11-01,MAX
563,initial,2021-06-01,MAX
564,initial,2021-09-01,MAX
565,initial,2022-07-01,PRO
566,initial,2020-08-01,BASIC
567,initial,2022-09-01,BASIC
568,initial,2022-06-01,PRO
569,initial,2020-09-01,PRO
570,initial,2022-11-01,PRO
571,initial,2022-09-01,BASIC
572,initial,2022-07-01,MAX
573,initial,2022-03-01,PRO
574,initial,2022-05-01,BASIC
575,initial,2020-02-01,PRO
576,initial,2022-11-01,BASIC
577,initial,2022-03-01,BASIC
578,initial,2022-07-01,BASIC
579,initial,2021-07-01,PRO
580,initial,2022-11-01,MAX
581,initial,2022-03-01,MAX
582,initial,2021-07-01,BASIC
583,initial,2020-11-01,PRO
584,initial,2020-11-01,PRO
585,initial,2022-11-01,MAX
586,initial,2020-02-01,BASIC
587,initial,2021-03-01,BASIC
588,initial,2020-04-01,MAX
589,initial,2022-08-01,MAX
590,initial,2020-04-01,BASIC
591,initial,2020-06-01,BASIC
592,initial,2020-12-01,MAX
593,initial,2022-02-01,BASIC
594,initial,2020-05-01,MAX
595,initial,2021-05-01,BASIC
596,initial,2020-01-01,PRO
597,initial,2020-01-01,BASIC
598,initial,2021-04-01,MAX
599,initial,2021-12-01,PRO
600,initial,2021-07-01,BASIC
601,initial,2021-03-01,PRO
602,initial,2020-06-01,PRO
603,initial,2020-02-01,PRO
604,initial,2021-06-01,BASIC
605,initial,2020-12-01,PRO
606,initial,2020-05-01,PRO
607,initial,2022-09-01,MAX
608,initial,2022-07-01,BASIC
609,initial,2020-01-01,PRO
610,initial,2020-07-01,BASIC
611,initial,2022-07-01,BASIC
612,initial,2022-06-01,BASIC
613,initial,2021-06-01,BASIC
614,initial,2020-02-01,MAX
615,initial,2021-06-01,MAX
616,initial,2022-04-01,PRO
617,initial,2021-10-01,PRO
618,initial,2021-11-01,BASIC
619,initial,2021-03-01,PRO
620,initial,2022-12-01,PRO
621,initial,2022-12-01,MAX
622,initial,2021-03-01,PRO
623,initial,2020-08-01,BASIC
624,initial,2022-10-01,PRO
625,initial,2022-05-01,PRO
626,initial,2021-10-01,BASIC
627,initial,2022-07-01,BASIC
628,initial,2021-11-01,BASIC
629,initial,2021-10-01,PRO
630,initial,2021-05-01,BASIC
631,initial,2020-04-01,BASIC
632,initial,2022-04-01,PRO
633,initial,2022-01-01,BASIC
634,initial,2021-12-01,BASIC
635,initial,2021-07-01,BASIC
636,initial,2020-04-01,PRO
637,initial,2020-12-01,MAX
638,initial,2021-10-01,PRO
639,initial,2021-10-01,PRO
640,initial,2021-05-01,PRO
641,initial,2021-08-01,BASIC
642,initial,2020-12-01,PRO
643,initial,2022-07-01,MAX
644,initial,2021-11-01,BASIC
645,initial,2020-06-01,BASIC
646,initial,2021-12-01,PRO
647,initial,2021-03-01,MAX
648,initial,2022-05-01,PRO
649,initial,2021-10-01,PRO
650,initial,2020-05-01,PRO
651,initial,2020-09-01,BASIC
652,initial,2020-04-01,BASIC
653,initial,2021-06-01,PRO
654,initial,2020-08-01,BASIC
655,initial,2020-09-01,BASIC
656,initial,2020-08-01,BASIC
657,initial,2021-02-01,MAX
658,initial,2020-11-01,BASIC
659,initial,2021-04-01,PRO
660,initial,2022-06-01,BASIC
661,initial,2020-11-01,BASIC
662,initial,2020-01-01,BASIC
663,initial,2021-05-01,PRO
664,initial,2021-03-01,BASIC
665,initial,2021-10-01,MAX
666,initial,2021-01-01,PRO
667,initial,2022-06-01,PRO
668,initial,2022-01-01,PRO
669,initial,2021-02-01,BASIC
670,initial,2021-10-01,PRO
671,initial,2022-01-01,BASIC
672,initial,2020-05-01,BASIC
673,initial,2020-08-01,MAX
674,initial,2021-05-01,pro
675,initial,2022-04-01,PRO
676,initial,2021-11-01,BASIC
677,initial,2022-11-01,PRO
678,initial,2020-03-01,MAX
679,initial,2021-08-01,BASIC
680,initial,2021-05-01,PRO
681,initial,2022-05-01,BASIC
682,initial,2020-07-01,PRO
683,initial,2021-03-01,BASIC
684,initial,2020-07-01,PRO
685,initial,2022-08-01,PRO
686,initial,2020-07-01,MAX
687,initial,2021-12-01,BASIC
688,initial,2020-01-01,PRO
689,initial,2022-12-01,PRO
690,initial,2022-02-01,MAX
691,initial,2021-02-01,BASIC
692,initial,2022-01-01,PRO
693,initial,2022-12-01,PRO
694,initial,2021-05-01,BASIC
695,initial,2022-08-01,BASIC
696,initial,2020-03-01,MAX
697,initial,2021-02-01,BASIC
698,initial,2022-05-01,BASIC
699,initial,2021-05-01,MAX
700,initial,2021-07-01,MAX
701,initial,2020-12-01,PRO
702,initial,2022-09-01,BASIC
703,initial,2022-06-01,MAX
704,initial,2021-12-01,PRO
705,initial,2022-03-01,PRO
706,initial,2021-06-01,BASIC
707,initial,2020-12-01,PRO
708,initial,2022-08-01,BASIC
709,initial,2021-12-01,PRO
710,initial,2022-06-01,BASIC
711,initial,2020-10-01,BASIC
712,initial,2021-07-01,BASIC
713,initial,2022-06-01,MAX
714,initial,2020-03-01,PRO
715,initial,2021-08-01,MAX
716,initial,2020-08-01,PRO
717,initial,2020-01-01,MAX
718,initial,2022-10-01,BASIC
719,initial,2022-09-01,MAX
720,initial,2020-02-01,BASIC
721,initial,2020-03-01,MAX
722,initial,2021-05-01,BASIC
723,initial,2021-05-01,PRO
724,initial,2020-04-01,PRO
725,initial,2022-12-01,BASIC
726,initial,2020-09-01,BASIC
727,initial,2020-05-01,BASIC
728,initial,2020-02-01,PRO
729,initial,2022-11-01,BASIC
730,initial,2021-09-01,PRO
731,initial,2021-09-01,PRO
732,initial,2020-10-01,PRO
733,initial,2021-08-01,MAX
734,initial,2021-01-01,PRO
735,initial,2021-11-01,BASIC
736,initial,2020-01-01,PRO
737,initial,2021-04-01,PRO
738,initial,2021-06-01,PRO
739,initial,2022-04-01,BASIC
740,initial,2021-11-01,BASIC
741,initial,2021-04-01,MAX
742,initial,2021-11-01,PRO
743,initial,2021-06-01,BASIC
744,initial,2022-01-01,MAX
745,initial,2022-07-01,PRO
746,initial,2020-07-01,MAX
747,initial,2022-12-01,BASIC
748,initial,2021-03-01,PRO
749,initial,2022-11-01,MAX
750,initial,2020-06-01,PRO
751,initial,2020-09-01,PRO
752,initial,2020-10-01,MAX
753,initial,2020-07-01,BASIC
754,initial,2020-03-01,BASIC
755,initial,2022-02-01,PRO
756,initial,2020-07-01,MAX
757,initial,2021-07-01,PRO
758,initial,2022-04-01,BASIC
759,initial,2021-10-01,BASIC
760,initial,2022-11-01,PRO
761,initial,2022-09-01,PRO
762,initial,2021-09-01,MAX
763,initial,2021-09-01,BASIC
764,initial,2020-05-01,BASIC
765,initial,2020-10-01,BASIC
766,initial,2020-03-01,PRO
767,initial,2022-11-01,PRO
768,initial,2020-03-01,PRO
769,initial,2022-05-01,PRO
770,initial,2020-07-01,BASIC
771,initial,2020-07-01,MAX
772,initial,2020-09-01,PRO
773,initial,2020-03-01,BASIC
774,initial,2022-11-01,PRO
775,initial,2021-06-01,PRO
776,initial,2020-11-01,PRO
777,initial,2021-10-01,BASIC
778,initial,2021-02-01,BASIC
779,initial,2020-11-01,PRO
780,initial,2020-12-01,PRO
781,initial,2021-07-01,PRO
782,initial,2020-04-01,BASIC
783,initial,2020-12-01,PRO
784,initial,2022-01-01,MAX
785,initial,2021-05-01,BASIC
786,initial,2020-10-01,PRO
787,initial,2021-03-01,PRO
788,initial,2020-03-01,BASIC
789,initial,2020-08-01,BASIC
790,initial,2020-10-01,PRO
791,initial,2020-04-01,MAX
792,initial,2022-12-01,PRO
793,initial,2020-11-01,BASIC
794,initial,2021-02-01,PRO
795,initial,2020-02-01,BASIC
796,initial,2020-02-01,PRO
797,initial,2021-12-01,PRO
798,initial,2020-02-01,BASIC
799,initial,2021-09-01,BASIC
800,initial,2021-09-01,MAX
801,initial,2021-11-01,BASIC
802,initial,2020-02-01,PRO
803,initial,2022-03-01,BASIC
804,initial,2022-07-01,MAX
805,initial,2022-08-01,MAX
806,initial,2020-03-01,MAX
807,initial,2022-06-01,PRO
808,initial,2021-08-01,BASIC
809,initial,2020-09-01,BASIC
810,initial,2020-08-01,PRO
811,initial,2020-08-01,BASIC
812,initial,2022-04-01,BASIC
813,initial,2021-11-01,BASIC
814,initial,2022-11-01,PRO
815,initial,2021-10-01,BASIC
816,initial,2020-09-01,PRO
817,initial,2021-07-01,MAX
818,initial,2020-12-01,BASIC
819,initial,2022-01-01,BASIC
820,initial,2021-12-01,PRO
821,initial,2022-01-01,MAX
822,initial,2021-04-01,BASIC
823,initial,2020-03-01,BASIC
824,initial,2022-05-01,BASIC
825,initial,2020-07-01,PRO
826,initial,2022-05-01,PRO
827,initial,2021-03-01,PRO
828,initial,2020-11-01,BASIC
829,initial,2022-08-01,BASIC
830,initial,2020-12-01,PRO
831,initial,2022-09-01,BASIC
832,initial,2021-01-01,BASIC
833,initial,2021-05-01,PRO
834,initial,2021-01-01,PRO
835,initial,2020-07-01,BASIC
836,initial,2022-06-01,BASIC
837,initial,2022-06-01,PRO
838,initial,2022-02-01,BASIC
839,initial,2022-04-01,BASIC
840,initial,2022-10-01,PRO
841,initial,2021-03-01,BASIC
842,initial,2022-08-01,MAX
843,initial,2021-01-01,PRO
844,initial,2022-03-01,BASIC
845,initial,2021-06-01,BASIC
846,initial,2021-09-01,PRO
847,initial,2022-11-01,PRO
848,initial,2020-06-01,MAX
849,initial,2020-10-01,MAX
850,initial,2021-02-01,PRO
