cust_id,customer_gender,age_group,customer_country
186,Male,55-65,Sweden
187,Other,45-54,Finland
188_cust,Female,35-44,Finland
189_cust,Female,18-24,Sweden
190,Female,35-44,Sweden
191,Male,35-44,Finland
192_cust,Other,25-34,Sweden
193,Male,25-34,Norway
194,Other,25-34,Denmark
195,Male,18-24,Sweden
196_cust,f,45-54,Finland
197_cust,Male,55-65,Finland
198,Other,35-44,Finland
199,Other,55-65,Sweden
200,Other,18-24,Sweden
201,Female,25-34,Norway
202,Male,55-65,Denmark
203_cust,Other,25-34,Denmark
204_cust,Female,45-54,Sweden
205,Female,18-24,Sweden
206,Other,55-65,Denmark
207_cust,Male,25-34,Sweden
208_cust,Female,25-34,Norway
209,Other,55-65,Sweden
210,Female,35-44,Finland
211,Other,35-44,Finland
212,Male,25-34,Finland
213,Other,45-54,Sweden
214_cust,Female,18-24,Denmark
215,Female,25-34,Norway
216_cust,Other,55-65,Sweden
217,Female,18-24,Sweden
218,Other,18-24,Denmark
219,Male,18-24,Sweden
220,Female,55-65,Norway
221_cust,Male,18-24,Denmark
222,Other,55-65,Norway
223,Other,55-65,Finland
224_cust,Male,18-24,Finland
225,Male,18-24,Finland
226,Other,18-24,Sweden
227,Other,25-34,Sweden
228,Other,55-65,Sweden
229,Female,55-65,Norway
230,Male,18-24,Norway
231_cust,Other,18-24,Sweden
232,Other,35-44,Denmark
233,Male,45-54,Norway
234,Male,35-44,Finland
235_cust,Other,55-65,Sweden
236,Male,35-44,Finland
237,Other,55-65,Denmark
238,Male,35-44,Finland
239,Other,55-65,Denmark
240_cust,Other,45-54,Norway
241,Male,18-24,Norway
242,Male,18-24,Norway
243,Female,45-54,Denmark
244,Female,18-24,Sweden
245,Male,25-34,Norway
246,Other,55-65,Sweden
247,Other,55-65,Norway
248,Other,35-44,Denmark
249,Male,18-24,Sweden
250,Male,35-44,Sverige
251,Other,35-44,Finland
252,Female,35-44,Finland
253,Female,25-34,Finland
254,Male,18-24,Denmark
255,Other,45-54,Norge
256,Other,35-44,Finland
257,Male,45-54,Finland
258_cust,Other,18-24,Denmark
259_cust,m,45-54,Norway
260,Other,55-65,Norway
261_cust,Other,35-44,Denmark
262,Female,35-44,Norway
263,Female,18-24,Denmark
264,Female,18-24,Norway
265,Female,25-34,Finland
266,Other,25-34,Norway
267,Female,35-44,Finland
268,Male,25-34,Finland
269_cust,Female,35-44,Sweden
270,Female,25-34,Denmark
271,Female,35-44,Denmark
272_cust,Other,25-34,Sweden
273,Male,55-65,Denmark
274,Female,35-44,Sweden
275,Other,45-54,Norway
276,Other,18-24,Finland
277,Other,55-65,Finland
278,Female,18-24,Sweden
279_cust,Female,45-54,Finland
280,Other,25-34,Finland
281,Male,18-24,Norge
282_cust,Other,25-34,Sweden
283,Male,55-65,Sweden
284,Other,18-24,Denmark
285,Female,35-44,Denmark
286_cust,Male,35-44,Finland
287,Female,18-24,Sweden
288,Male,18-24,Norway
289,Male,45-54,Sweden
290,Other,45-54,Sweden
291,Female,55-65,Finland
292,Male,55-65,Norway
293,Male,25-34,Finland
294,m,35-44,Sweden
295_cust,Female,55-65,Norway
296_cust,Male,18-24,Denmark
297,Other,25-34,Denmark
298_cust,Female,25-34,Sweden
299_cust,Other,45-54,Norway
300,Other,55-65,Denmark
301,f,25-34,Denmark
302_cust,Female,55-65,Denmark
303_cust,Female,55-65,Denmark
304_cust,Female,18-24,Sweden
305_cust,Female,18-24,Sweden
306_cust,Other,55-65,Sweden
307,Male,35-44,Sweden
308_cust,f,25-34,Sweden
309,Other,45-54,Norway
310,Other,35-44,Denmark
311,Other,35-44,Norway
312,Other,18-24,Denmark
313,Male,35-44,Norway
314_cust,Other,55-65,Finland
315_cust,f,25-34,Sweden
316,Other,45-54,Norway
317,Female,55-65,Sweden
318_cust,Female,45-54,Norway
319,Female,55-65,Finland
320,Female,18-24,Finland
321,Female,35-44,Denmark
322_cust,Female,18-24,Norway
323_cust,Female,55-65,Norway
324_cust,Other,55-65,Norway
325,Other,35-44,Sweden
326_cust,Female,18-24,Finland
327,Female,55-65,Denmark
328,Other,35-44,Denmark
329,Male,18-24,Sweden
330,Female,18-24,Denmark
331,Other,45-54,Sweden
332,Other,45-54,Sweden
333,Other,45-54,Denmark
334_cust,Female,45-54,Norway
335,Other,55-65,Denmark
336,Female,18-24,Finland
337_cust,Other,55-65,Norway
338_cust,Male,18-24,Denmark
339,Other,18-24,Denmark
340,Male,45-54,Sweden
341,Other,18-24,Sweden
342,Other,25-34,Denmark
343,Other,45-54,Finland
344,Other,25-34,Denmark
345_cust,Other,45-54,Finland
346_cust,Other,25-34,Sweden
347,Female,18-24,Sweden
348,Other,18-24,Denmark
349,Other,35-44,Sweden
350_cust,Female,45-54,Norway
351,Other,45-54,Sweden
352,Other,25-34,Denmark
353_cust,Other,25-34,Sweden
354,Female,18-24,Sweden
355,Female,35-44,Norway
356,Male,55-65,Denmark
357,Female,25-34,Norway
358,Male,35-44,Sweden
359,Other,55-65,Denmark
360,Male,55-65,Denmark
361,Male,25-34,Sweden
362,Female,45-54,Sweden
363,Other,55-65,Sweden
364,Other,18-24,Denmark
365,Female,55-65,Norway
366,Other,45-54,Norway
367,Male,45-54,Denmark
368,Other,18-24,Norway
369,Male,55-65,Norway
370,Other,35-44,Norway
371,Female,45-54,Sweden
372_cust,Other,35-44,Sweden
373,Other,45-54,Finland
374,Other,25-34,Norway
375_cust,Male,18-24,Finland
376_cust,Other,55-65,Norway
377,Other,45-54,Norway
378,Male,18-24,Sweden
379,Female,18-24,Sweden
380_cust,Female,35-44,Denmark
381,Other,55-65,Denmark
382_cust,Other,45-54,Norway
383,Male,45-54,Norway
384,Other,25-34,Sweden
385_cust,Female,35-44,Denmark
386_cust,Other,55-65,Norway
387,Female,25-34,Norway
388,Male,45-54,Norway
389,Other,18-24,Sweden
390,Other,25-34,Sweden
391,Female,25-34,Denmark
392,Female,18-24,Sweden
393,Other,55-65,Norway
394,Female,35-44,Norway
395,Other,18-24,Norway
396,Male,18-24,Sweden
397,Female,25-34,Sweden
398,Other,18-24,Denmark
399,Female,25-34,Denmark
400,Male,45-54,Norway
401_cust,Other,45-54,Norway
402_cust,Female,55-65,Norway
403,Other,35-44,Denmark
404,Other,18-24,Finland
405_cust,Female,25-34,Norway
406_cust,Female,55-65,Denmark
407,Other,25-34,Finland
408_cust,Male,45-54,Finland
409,Female,25-34,Finland
410,Male,45-54,Norway
411,Male,45-54,Norway
412_cust,Female,25-34,Sweden
413_cust,Male,45-54,Norway
414,Female,25-34,Sweden
415_cust,Other,25-34,Denmark
416,Other,55-65,Norway
417,Female,55-65,Sweden
418_cust,Male,35-44,Sweden
419_cust,Male,25-34,Denmark
420_cust,Female,18-24,Sweden
421,Other,35-44,Norway
422,Female,25-34,Sweden
423_cust,Female,25-34,Norway
424,Female,45-54,Norway
425,Other,35-44,Norway
426,Female,45-54,Denmark
427_cust,Other,45-54,Finland
428_cust,Other,18-24,Norway
429,Other,25-34,Sweden
430,Other,25-34,Norway
431,f,45-54,Denmark
432_cust,Other,25-34,Norway
433,Other,35-44,Sweden
434,Female,18-24,Sweden
435,Other,18-24,Sweden
436_cust,Other,18-24,Sweden
437_cust,Male,25-34,Norway
438,Other,35-44,Denmark
439,Other,55-65,Finland
440_cust,Male,35-44,Finland
441,Female,35-44,Finland
442_cust,Female,18-24,Sweden
443,Other,25-34,Denmark
444,Female,18-24,Finland
445,Other,18-24,Norway
446_cust,Other,18-24,Denmark
447,Other,35-44,Denmark
448_cust,Other,18-24,Sweden
449,Other,18-24,Denmark
450,Female,35-44,Norway
451,Female,45-54,Sweden
452,Other,45-54,Norway
453,Female,18-24,Sweden
454,Male,45-54,Norway
455,Other,45-54,Finland
456,Other,55-65,Sverige
457,Male,35-44,Norway
458_cust,Other,45-54,Finland
459,Female,18-24,Finland
460,Female,18-24,Sweden
461,Female,25-34,Sweden
462,m,35-44,Sweden
463,Other,18-24,Norway
464_cust,Other,18-24,Finland
465,Male,55-65,Denmark
466,Other,45-54,Norway
467,Female,25-34,Sweden
468,Female,18-24,Norway
469,Other,35-44,Sweden
470,Male,35-44,Norway
471,m,55-65,Norway
472,Male,25-34,Sweden
473,Female,35-44,Norway
474_cust,Male,55-65,Sweden
475_cust,Other,35-44,Sweden
476,Other,45-54,Finland
477,Male,55-65,Denmark
478,Male,35-44,Norway
479,Other,45-54,Denmark
480,Other,55-65,Norway
481_cust,Female,35-44,Sweden
482_cust,Female,35-44,Sweden
483,Female,45-54,Norway
484_cust,Other,35-44,Sweden
485,Other,35-44,Sweden
486,Male,18-24,Sweden
487,Other,45-54,Sweden
488,Male,55-65,Finland
489_cust,Other,18-24,Sweden
490_cust,Other,35-44,Denmark
491,Male,45-54,Norway
492,Female,45-54,Sweden
493_cust,Other,18-24,Norway
494_cust,Female,18-24,Norway
495_cust,Other,18-24,Finland
496,Other,25-34,Sweden
497_cust,Male,25-34,Finland
498,Other,35-44,Finland
499,Male,55-65,Denmark
500,Other,45-54,Finland
501,Male,35-44,Finland
502,Female,18-24,Sweden
503,Other,18-24,Sweden
504,Other,25-34,Sweden
505,Other,18-24,Denmark
506_cust,Male,18-24,Denmark
507,Other,55-65,Sweden
508,Female,35-44,Sweden
509_cust,Female,45-54,Finland
510,Female,25-34,Sweden
511,Other,35-44,Sweden
512,Other,55-65,Finland
513,Other,45-54,Finland
514,Other,18-24,Denmark
515_cust,Female,35-44,Sweden
516_cust,Other,55-65,Norway
517,Male,45-54,Finland
518,Male,35-44,Finland
519,Other,35-44,Denmark
520,Male,45-54,Denmark
521_cust,Other,18-24,Denmark
522,Other,35-44,Sweden
523,Other,55-65,Finland
524_cust,Other,25-34,Denmark
525,Female,25-34,Sweden
526_cust,Other,35-44,Finland
527_cust,Other,55-65,Finland
528,Other,35-44,Sweden
529_cust,Other,25-34,Sweden
530,Female,25-34,Denmark
531,Other,45-54,Norway
532_cust,Female,25-34,Norway
533_cust,Male,18-24,Norway
534,Female,18-24,Norway
535,Male,18-24,Denmark
536,Other,18-24,Finland
537,Other,35-44,Sweden
538_cust,Other,55-65,Norway
539,Female,25-34,Norway
540_cust,Male,45-54,Norway
541_cust,Female,55-65,Sweden
542_cust,Male,18-24,Finland
543_cust,Other,45-54,Norway
544_cust,Male,55-65,Sweden
545,Other,18-24,Denmark
546,Other,45-54,Denmark
547,Female,18-24,Finland
548,Male,18-24,Norge
549,Male,25-34,Norway
550,Female,18-24,Norway
551_cust,Other,18-24,Finland
552,Male,45-54,Norway
553,Other,45-54,Sweden
554,Other,55-65,Norway
555,Other,55-65,Sweden
556_cust,Other,55-65,Denmark
557,Other,35-44,Finland
558,Female,35-44,Sweden
559,Male,45-54,Sweden
560,Other,45-54,Sweden
561,Male,35-44,Denmark
562_cust,Female,25-34,Sweden
563,Other,45-54,Denmark
564,Other,45-54,Sweden
565_cust,Female,55-65,Sweden
566_cust,Male,25-34,Sweden
567_cust,Female,55-65,Finland
568,Female,25-34,Norway
569_cust,Female,55-65,Sweden
570,Male,35-44,Denmark
571,Female,18-24,Norway
572,Other,25-34,Sweden
573,Female,35-44,Norway
574,Female,45-54,Finland
575,Other,55-65,Finland
576,Female,45-54,Sweden
577,Female,18-24,Sweden
578,Female,18-24,Norway
579,Other,55-65,Sweden
580_cust,Female,25-34,Finland
581,Other,18-24,Norway
582,Male,35-44,Norway
583,Male,45-54,Sweden
584_cust,Male,25-34,Finland
585,Other,25-34,Finland
586,Male,18-24,Norway
587_cust,Male,35-44,Sweden
588_cust,Other,45-54,Sweden
589,Other,45-54,Finland
590,Male,18-24,Sweden
591_cust,Female,18-24,Sweden
592,Female,35-44,Norway
593,Female,18-24,Denmark
594,Other,55-65,Sweden
595,Female,55-65,Denmark
596_cust,Male,18-24,Finland
597,Male,45-54,Sweden
598,Other,35-44,Denmark
599,Female,55-65,Denmark
600,Female,35-44,Finland
601,Female,55-65,Norway
602,Female,25-34,Norway
603,Male,35-44,Denmark
604_cust,Other,18-24,Norway
605,Other,18-24,Norway
606_cust,Female,35-44,Finland
607,Female,18-24,Norway
608_cust,Female,45-54,Finland
609_cust,Other,55-65,Finland
610,Other,45-54,Denmark
611,Other,25-34,Denmark
612_cust,Other,55-65,Finland
613,Male,18-24,Denmark
614,Other,35-44,Sweden
615,Other,45-54,Denmark
616,Other,35-44,Finland
617_cust,Male,18-24,Norway
618,Male,18-24,Sweden
619,Other,18-24,Sweden
620_cust,Male,35-44,Norway
621_cust,Other,45-54,Denmark
622,Female,55-65,Norway
623,Female,18-24,Finland
624,Male,25-34,Finland
625,Female,45-54,Sweden
626_cust,Other,35-44,Sweden
627,Female,25-34,Denmark
628,Female,45-54,Sweden
629_cust,Other,25-34,Sweden
630,Female,18-24,Denmark
631_cust,Other,18-24,Norway
632_cust,Male,35-44,Denmark
633,Female,45-54,Denmark
634,Other,18-24,Sweden
635,Male,55-65,Denmark
636_cust,Female,25-34,Denmark
637,Female,18-24,Sweden
638,Other,25-34,Finland
639_cust,Male,25-34,Denmark
640,Male,45-54,Norway
641,Male,35-44,Sweden
642_cust,Female,18-24,Denmark
643,Other,35-44,Sweden
644,Female,18-24,Sweden
645_cust,Female,25-34,Sverige
646_cust,Other,18-24,Finland
647_cust,Other,35-44,Sweden
648,Female,45-54,Sweden
649_cust,Other,35-44,Sweden
650,Other,55-65,Sweden
651,Other,25-34,Sweden
652,Male,55-65,Denmark
653,Other,45-54,Sweden
654_cust,Other,25-34,Sweden
655_cust,Male,55-65,Sweden
656_cust,Female,18-24,Sweden
657,Female,55-65,Sweden
658_cust,Male,55-65,Denmark
659,Male,18-24,Norway
660,Female,18-24,Sweden
661,Female,18-24,Denmark
662_cust,Male,18-24,Denmark
663,Other,45-54,Norway
664,Other,35-44,Sweden
665,Other,18-24,Sweden
666,Female,18-24,Sweden
667,Male,25-34,Norway
668_cust,Male,55-65,Sweden
669,Male,25-34,Finland
670,Male,18-24,Norway
671_cust,Male,35-44,Sweden
672,Male,45-54,Denmark
673,Female,35-44,Norway
674,Other,35-44,Finland
675,Male,18-24,Finland
676,Female,45-54,Norway
677,m,55-65,Sweden
678,Female,35-44,Norway
679,Other,45-54,Sweden
680,Other,35-44,Finland
681,Other,18-24,Norway
682,Male,25-34,Sweden
683_cust,Female,45-54,Norway
684,Other,45-54,Norway
685,Male,35-44,Sweden
686,Female,25-34,Sweden
687_cust,Other,18-24,Sweden
688,Female,45-54,Denmark
689,Female,45-54,Sweden
690,Other,18-24,Sweden
691,Female,55-65,Finland
692,Other,25-34,Denmark
693,Other,45-54,Denmark
694,Male,55-65,Sweden
695_cust,m,45-54,Norway
696,Other,55-65,Sweden
697,Other,18-24,Sweden
698,Other,55-65,Denmark
699_cust,Other,55-65,Sweden
700,Other,35-44,Sweden
701_cust,Other,25-34,Denmark
702_cust,Other,25-34,Sweden
703_cust,Other,35-44,Sweden
704_cust,Female,55-65,Sweden
705,Other,25-34,Sweden
706,Other,55-65,Finland
707,Male,35-44,Finland
708_cust,Female,25-34,Norway
709,Other,18-24,Denmark
710,Female,35-44,Denmark
711_cust,Female,25-34,Denmark
712_cust,Female,18-24,Denmark
713_cust,Other,45-54,Finland
714,Male,25-34,Sweden
715_cust,Other,35-44,Sweden
716,Female,18-24,Denmark
717,Other,35-44,Sweden
718,m,18-24,Finland
719,Other,18-24,Sweden
720,Other,55-65,Finland
721,Other,35-44,Denmark
722,Other,18-24,Norway
723,Other,55-65,Denmark
724_cust,Other,35-44,Sweden
725_cust,f,18-24,Sweden
726,Female,45-54,Norway
727,Other,25-34,Finland
728,Female,55-65,Sweden
729,Other,18-24,Sweden
730,Other,25-34,Finland
731_cust,Male,18-24,Sweden
732_cust,Other,25-34,Sweden
733,Female,18-24,Finland
734,Male,45-54,Sweden
735,Other,25-34,Norway
736,Female,55-65,Finland
737_cust,Male,18-24,Sweden
738,Other,18-24,Denmark
739,Male,35-44,Sweden
740,Male,18-24,Denmark
741,Other,45-54,Sweden
742,Female,45-54,Denmark
743,Female,18-24,Sweden
744,Other,18-24,Denmark
745_cust,Other,55-65,Norway
746,Female,35-44,Sweden
747,Male,55-65,Norway
748,Other,55-65,Denmark
749,Female,35-44,Norway
750,Other,45-54,Denmark
751_cust,Male,45-54,Sweden
752_cust,Other,18-24,Denmark
753,Other,45-54,Denmark
754,Female,45-54,Sweden
755_cust,Other,18-24,Sweden
756_cust,Other,25-34,Sweden
757,Male,18-24,Sweden
758_cust,Other,25-34,Denmark
759,Male,35-44,Norway
760_cust,Female,25-34,Finland
761,Female,18-24,Denmark
762,Other,45-54,Sweden
763,Female,18-24,Finland
764,Female,45-54,Norway
765,Other,55-65,Sweden
766,Female,18-24,Denmark
767,Other,55-65,Norway
768_cust,Other,45-54,Finland
769_cust,Other,25-34,Finland
770_cust,Other,18-24,Sweden
771,Female,18-24,Finland
772,Male,45-54,Sweden
773,Other,18-24,Norway
774_cust,Male,35-44,Sverige
775,Female,55-65,Finland
776,Other,25-34,Sweden
777,Other,18-24,Denmark
778_cust,Other,55-65,Sweden
779,Other,35-44,Sweden
780_cust,Other,55-65,Sweden
781,Other,25-34,Sweden
782,Male,45-54,Sweden
783,Male,25-34,Sweden
784_cust,Other,35-44,Sweden
785_cust,Male,18-24,Sweden
786_cust,Female,55-65,Sweden
787_cust,Other,55-65,Sweden
788_cust,Other,18-24,Denmark
789,Female,35-44,Denmark
790,Male,45-54,Norway
791,Other,18-24,Denmark
792,Female,45-54,Finland
793_cust,Other,25-34,Norway
794,Female,55-65,Norway
795,Other,45-54,Finland
796_cust,Female,35-44,Sweden
797_cust,Male,55-65,Finland
798,Male,18-24,Sweden
799,Female,55-65,Denmark
800_cust,Other,55-65,Norway
801,Male,25-34,Finland
802_cust,Male,25-34,Sweden
803_cust,Other,25-34,Norway
804,Other,18-24,Sweden
805_cust,Other,18-24,Sweden
806_cust,Other,18-24,Denmark
807_cust,Male,35-44,Finland
808_cust,Other,18-24,Sweden
809,Other,18-24,Denmark
810,Female,18-24,Norway
811_cust,Other,35-44,Finland
812,Female,25-34,Finland
813,Other,18-24,Norway
814,Female,18-24,Denmark
815,Male,45-54,Finland
816,Other,45-54,Sverige
817,Female,18-24,Sweden
818_cust,Female,55-65,Denmark
819_cust,Other,55-65,Finland
820,Other,45-54,Norway
821_cust,Other,45-54,Sweden
822,Female,25-34,Norway
823,Other,25-34,Norway
824,Female,45-54,Finland
825,Female,45-54,Denmark
826,Female,25-34,Norway
827_cust,Female,25-34,Norway
828,Male,25-34,Sweden
829,Other,35-44,Sweden
830,Female,35-44,Sweden
831_cust,Male,18-24,Sweden
832,Other,25-34,Sweden
833,Other,45-54,Norway
834_cust,Other,25-34,Denmark
835,Other,25-34,Denmark
836_cust,Female,35-44,Sweden
837_cust,Female,45-54,Sweden
838_cust,Female,18-24,Denmark
839,Male,18-24,Denmark
840,Female,25-34,Sweden
841,Female,18-24,Denmark
842,Other,45-54,Denmark
843_cust,Female,35-44,Denmark
844_cust,Other,18-24,Sweden
845,Female,55-65,Denmark
846_cust,Female,45-54,Finland
847,Male,45-54,Denmark
848,Other,35-44,Sweden
849,Other,35-44,Sweden
850_cust,Male,55-65,Finland
851,Female,18-24,Sweden
852,Other,18-24,Sweden
853,Other,55-65,Finland
854_cust,Male,25-34,Denmark
855,Other,18-24,Sweden
856_cust,Other,35-44,Sweden
857_cust,Male,25-34,Sweden
858,Female,55-65,Denmark
859_cust,Male,35-44,Norway
860,Other,18-24,Sweden
861,Male,45-54,Denmark
862,Male,35-44,Norway
863_cust,Female,35-44,Sweden
864,Other,45-54,Sweden
865,Female,35-44,Finland
866_cust,Female,18-24,Denmark
867,Other,45-54,Denmark
868,Male,45-54,Denmark
869,Male,18-24,Norway
870_cust,Female,18-24,Finland
871,Other,25-34,Sweden
872,Other,25-34,Sweden
873,Female,18-24,Sweden
874_cust,Male,35-44,Sweden
875,Other,18-24,Sverige
876_cust,Female,45-54,Sweden
877,Other,18-24,Finland
878_cust,Male,25-34,Sweden
879_cust,Male,45-54,Norway
880,Male,25-34,Finland
881,Other,45-54,Sweden
882,Other,45-54,Sweden
883,Male,18-24,Sweden
884,Male,45-54,Sweden
885_cust,Female,45-54,Denmark
886,Other,25-34,Finland
887_cust,Female,35-44,Sweden
888,Male,25-34,Finland
889,Male,55-65,Norway
890_cust,Female,18-24,Norway
891,Female,45-54,Denmark
892,Other,45-54,Norway
893,Female,45-54,Finland
894,Other,45-54,Sweden
895,Female,55-65,Denmark
896,Other,25-34,Norway
897,Other,25-34,Sweden
898,Other,55-65,Finland
899_cust,Other,45-54,Norway
900,Other,18-24,Sweden
901_cust,Other,25-34,Norway
902,Male,25-34,Finland
903_cust,Male,25-34,Norge
904_cust,Female,18-24,Norway
905,Male,35-44,Norway
906,Female,35-44,Norway
907_cust,Other,18-24,Sweden
908,Female,35-44,Finland
909,Male,55-65,Norway
910,Female,18-24,Sweden
911,Male,35-44,Finland
912,Female,45-54,Sweden
913_cust,Other,35-44,Sweden
914,Other,18-24,Finland
915,Female,55-65,Denmark
916,Female,55-65,Denmark
917,Other,45-54,Finland
918_cust,Female,55-65,Finland
919,Other,35-44,Denmark
920,Other,18-24,Denmark
921,Female,35-44,Finland
922,Other,35-44,Denmark
923_cust,Male,55-65,Sweden
924_cust,Other,45-54,Sweden
925,Other,18-24,Sweden
926_cust,Other,55-65,Sweden
927_cust,Male,55-65,Sweden
928,m,45-54,Norway
929,Other,35-44,Denmark
930_cust,Female,35-44,Norway
931,Male,18-24,Sweden
932_cust,Other,25-34,Denmark
933_cust,Male,18-24,Denmark
934_cust,Female,18-24,Sweden
935_cust,Male,55-65,Sweden
936_cust,Other,55-65,Denmark
937,Female,18-24,Norway
938_cust,Other,55-65,Sweden
939,Other,45-54,Sweden
940,Other,55-65,Finland
941_cust,Male,25-34,Sweden
942,Other,45-54,Sweden
943,Female,45-54,Denmark
944,Other,18-24,Sweden
945,Other,18-24,Denmark
946_cust,Male,18-24,Finland
947_cust,Other,45-54,Sweden
948,Other,35-44,Denmark
949,Other,55-65,Sweden
950,Other,18-24,Sweden
951,Other,25-34,Norway
952_cust,Other,35-44,Finland
953_cust,Male,55-65,Denmark
954,Other,55-65,Norway
955,Other,18-24,Finland
956_cust,Other,45-54,Sweden
957_cust,Male,35-44,Denmark
958_cust,Male,55-65,Sweden
959,Other,25-34,Sweden
